Generated: Thu Mar 29 13:01:16 2024, Traffic Light ID: 2, Cars Passed: 15
Generated: Thu Mar 29 13:01:19 2024, Traffic Light ID: 4, Cars Passed: 20
Generated: Thu Mar 29 13:01:22 2024, Traffic Light ID: 1, Cars Passed: 32
Generated: Thu Mar 29 13:01:25 2024, Traffic Light ID: 5, Cars Passed: 5
Generated: Thu Mar 29 13:01:28 2024, Traffic Light ID: 3, Cars Passed: 11
Generated: Thu Mar 29 13:01:31 2024, Traffic Light ID: 2, Cars Passed: 18
Generated: Thu Mar 29 13:01:34 2024, Traffic Light ID: 4, Cars Passed: 14
Generated: Thu Mar 29 13:01:37 2024, Traffic Light ID: 1, Cars Passed: 25
Generated: Thu Mar 29 13:01:40 2024, Traffic Light ID: 5, Cars Passed: 9
Generated: Thu Mar 29 13:01:43 2024, Traffic Light ID: 3, Cars Passed: 17
Generated: Thu Mar 29 13:01:46 2024, Traffic Light ID: 2, Cars Passed: 22
Generated: Thu Mar 29 13:01:49 2024, Traffic Light ID: 4, Cars Passed: 16
Generated: Thu Mar 29 13:01:52 2024, Traffic Light ID: 1, Cars Passed: 28
Generated: Thu Mar 29 13:01:55 2024, Traffic Light ID: 5, Cars Passed: 3
Generated: Thu Mar 29 13:01:58 2024, Traffic Light ID: 3, Cars Passed: 10
Generated: Thu Mar 29 13:02:01 2024, Traffic Light ID: 2, Cars Passed: 17
Generated: Thu Mar 29 13:02:04 2024, Traffic Light ID: 4, Cars Passed: 13
Generated: Thu Mar 29 13:02:07 2024, Traffic Light ID: 1, Cars Passed: 30
Generated: Thu Mar 29 13:02:10 2024, Traffic Light ID: 5, Cars Passed: 7
Generated: Thu Mar 29 13:02:13 2024, Traffic Light ID: 3, Cars Passed: 16
Generated: Thu Mar 29 13:02:16 2024, Traffic Light ID: 2, Cars Passed: 20
Generated: Thu Mar 29 13:02:19 2024, Traffic Light ID: 4, Cars Passed: 19
Generated: Thu Mar 29 13:02:22 2024, Traffic Light ID: 1, Cars Passed: 26
Generated: Thu Mar 29 13:02:25 2024, Traffic Light ID: 5, Cars Passed: 4
Generated: Thu Mar 29 13:02:28 2024, Traffic Light ID: 3, Cars Passed: 12
Generated: Thu Mar 29 13:02:31 2024, Traffic Light ID: 2, Cars Passed: 16
Generated: Thu Mar 29 13:02:34 2024, Traffic Light ID: 4, Cars Passed: 15
Generated: Thu Mar 29 13:02:37 2024, Traffic Light ID: 1, Cars Passed: 29
Generated: Thu Mar 29 13:02:40 2024, Traffic Light ID: 5, Cars Passed: 6
Generated: Thu Mar 29 13:02:43 2024, Traffic Light ID: 3, Cars Passed: 14
Generated: Thu Mar 29 13:02:46 2024, Traffic Light ID: 2, Cars Passed: 19
Generated: Thu Mar 29 13:02:49 2024, Traffic Light ID: 4, Cars Passed: 17
Generated: Thu Mar 29 13:02:52 2024, Traffic Light ID: 1, Cars Passed: 27
Generated: Thu Mar 29 13:02:55 2024, Traffic Light ID: 5, Cars Passed: 5
Generated: Thu Mar 29 13:02:58 2024, Traffic Light ID: 3, Cars Passed: 11
Generated: Thu Mar 29 13:03:01 2024, Traffic Light ID: 2, Cars Passed: 18
Generated: Thu Mar 29 13:03:04 2024, Traffic Light ID: 4, Cars Passed: 14
Generated: Thu Mar 29 13:03:07 2024, Traffic Light ID: 1, Cars Passed: 31
Generated: Thu Mar 29 13:03:10 2024, Traffic Light ID: 5, Cars Passed: 8
Generated: Thu Mar 29 13:03:13 2024, Traffic Light ID: 3, Cars Passed: 17
Generated: Thu Mar 29 13:03:16 2024, Traffic Light ID: 2, Cars Passed: 23
Generated: Thu Mar 29 13:03:19 2024, Traffic Light ID: 4, Cars Passed: 16
Generated: Thu Mar 29 13:03:22 2024, Traffic Light ID: 1, Cars Passed: 28
Generated: Thu Mar 29 13:03:25 2024, Traffic Light ID: 5, Cars Passed: 3
Generated: Thu Mar 29 13:03:28 2024, Traffic Light ID: 3, Cars Passed: 10
Generated: Thu Mar 29 13:03:31 2024, Traffic Light ID: 2, Cars Passed: 15
Generated: Thu Mar 29 13:03:34 2024, Traffic Light ID: 4, Cars Passed: 13
Generated: Thu Mar 29 13:03:37 2024, Traffic Light ID: 1, Cars Passed: 30
Generated: Thu Mar 29 13:03:40 2024, Traffic Light ID: 5, Cars Passed: 7
Generated: Thu Mar 29 13:03:43 2024, Traffic Light ID: 3, Cars Passed: 16
Generated: Thu Mar 29 13:03:46 2024, Traffic Light ID: 2, Cars Passed: 19
Generated: Thu Mar 29 13:03:49 2024, Traffic Light ID: 4, Cars Passed: 15
Generated: Thu Mar 29 13:03:52 2024, Traffic Light ID: 1, Cars Passed: 29
Generated: Thu Mar 29 13:03:55 2024, Traffic Light ID: 5, Cars Passed: 6
Generated: Thu Mar 29 13:03:58 2024, Traffic Light ID: 3, Cars Passed: 14
Generated: Thu Mar 29 13:04:01 2024, Traffic Light ID: 2, Cars Passed: 18
Generated: Thu Mar 29 13:04:04 2024, Traffic Light ID: 4, Cars Passed: 14
Generated: Thu Mar 29 13:04:07 2024, Traffic Light ID: 1, Cars Passed: 31
Generated: Thu Mar 29 13:04:10 2024, Traffic Light ID: 5, Cars Passed: 8
Generated: Thu Mar 29 13:04:13 2024, Traffic Light ID: 3, Cars Passed: 17
Generated: Thu Mar 29 13:04:16 2024, Traffic Light ID: 2, Cars Passed: 23
Generated: Thu Mar 29 13:04:19 2024, Traffic Light ID: 4, Cars Passed: 16
Generated: Thu Mar 29 13:04:22 2024, Traffic Light ID: 1, Cars Passed: 28
Generated: Thu Mar 29 13:04:25 2024, Traffic Light ID: 5, Cars Passed: 3
Generated: Thu Mar 29 13:04:28 2024, Traffic Light ID: 3, Cars Passed: 10
Generated: Thu Mar 29 13:04:31 2024, Traffic Light ID: 2, Cars Passed: 15
Generated: Thu Mar 29 13:04:34 2024, Traffic Light ID: 4, Cars Passed: 13
Generated: Thu Mar 29 13:04:37 2024, Traffic Light ID: 1, Cars Passed: 30
Generated: Thu Mar 29 13:04:40 2024, Traffic Light ID: 5, Cars Passed: 7
Generated: Thu Mar 29 13:04:43 2024, Traffic Light ID: 3, Cars Passed: 16
Generated: Thu Mar 29 13:04:46 2024, Traffic Light ID: 2, Cars Passed: 19
Generated: Thu Mar 29 13:04:49 2024, Traffic Light ID: 4, Cars Passed: 15
Generated: Thu Mar 29 13:04:52 2024, Traffic Light ID: 1, Cars Passed: 29
Generated: Thu Mar 29 13:04:55 2024, Traffic Light ID: 5, Cars Passed: 6
Generated: Thu Mar 29 13:04:58 2024, Traffic Light ID: 3, Cars Passed: 14
Generated: Thu Mar 29 13:05:01 2024, Traffic Light ID: 2, Cars Passed: 18
Generated: Thu Mar 29 13:05:04 2024, Traffic Light ID: 4, Cars Passed: 14
Generated: Thu Mar 29 13:05:07 2024, Traffic Light ID: 1, Cars Passed: 31
Generated: Thu Mar 29 13:05:10 2024, Traffic Light ID: 5, Cars Passed: 8
Generated: Thu Mar 29 13:05:13 2024, Traffic Light ID: 3, Cars Passed: 17
Generated: Thu Mar 29 13:05:16 2024, Traffic Light ID: 2, Cars Passed: 23
Generated: Thu Mar 29 13:05:19 2024, Traffic Light ID: 4, Cars Passed: 16
Generated: Thu Mar 29 13:05:22 2024, Traffic Light ID: 1, Cars Passed: 28
Generated: Thu Mar 29 13:05:25 2024, Traffic Light ID: 5, Cars Passed: 3
Generated: Thu Mar 29 13:05:28 2024, Traffic Light ID: 3, Cars Passed: 10
Generated: Thu Mar 29 13:05:31 2024, Traffic Light ID: 2, Cars Passed: 15
Generated: Thu Mar 29 13:05:34 2024, Traffic Light ID: 4, Cars Passed: 13
Generated: Thu Mar 29 13:05:37 2024, Traffic Light ID: 1, Cars Passed: 30
Generated: Thu Mar 29 13:05:40 2024, Traffic Light ID: 5, Cars Passed: 7
Generated: Thu Mar 29 13:05:43 2024, Traffic Light ID: 3, Cars Passed: 16
Generated: Thu Mar 29 13:05:46 2024, Traffic Light ID: 2, Cars Passed: 19
Generated: Thu Mar 29 13:05:49 2024, Traffic Light ID: 4, Cars Passed: 15
Generated: Thu Mar 29 13:05:52 2024, Traffic Light ID: 1, Cars Passed: 29
Generated: Thu Mar 29 13:05:55 2024, Traffic Light ID: 5, Cars Passed: 6
Generated: Thu Mar 29 13:05:58 2024, Traffic Light ID: 3, Cars Passed: 14
